operator,vehicle_id,Earliest,Latest,days
mobike,A010000057,2017-10-09T04:00:00Z,2017-10-09T04:00:00Z,0
mobike,A013333302,2017-11-17T05:00:00Z,2017-11-17T05:00:00Z,0
mobike,A016000555,2018-04-26T04:00:00Z,2018-04-26T04:00:00Z,0
mobike,A016000577,2018-03-06T05:00:00Z,2018-03-06T05:00:00Z,0
mobike,A016000591,2017-12-28T05:00:00Z,2017-12-28T05:00:00Z,0
mobike,A016000714,2018-03-31T04:00:00Z,2018-03-31T04:00:00Z,0
mobike,A016000758,2018-02-15T05:00:00Z,2018-02-15T05:00:00Z,0
mobike,A016000805,2017-12-23T05:00:00Z,2017-12-23T05:00:00Z,0
mobike,A016000887,2017-10-26T04:00:00Z,2017-10-26T04:00:00Z,0
mobike,A016001292,2017-09-21T04:00:00Z,2017-09-21T04:00:00Z,0
mobike,A016001457,2018-02-20T05:00:00Z,2018-02-20T05:00:00Z,0
mobike,A016001531,2017-09-21T04:00:00Z,2017-09-21T04:00:00Z,0
mobike,A819990000,2017-11-27T05:00:00Z,2017-11-27T05:00:00Z,0
