start_ward,end_ward,count
2,2,201784
6,6,64346
1,1,34492
2,6,25320
6,2,23178
1,2,22978
2,1,19013
5,5,13378
3,3,12141
4,4,7849
6,5,6553
5,6,5360
3,2,4803
2,3,4667
2,5,4658
1,6,4445
5,2,3822
6,1,3757
0,0,3079
1,5,2960
1,4,2765
2,0,2725
1,3,2364
4,1,2060
3,1,2040
5,1,2033
7,7,2024
8,8,1538
4,2,1484
4,0,1465
2,4,1365
6,7,1118
6,8,768
0,2,760
5,4,673
7,6,655
4,5,607
6,0,443
6,4,412
4,6,365
3,6,357
6,3,345
3,0,333
3,4,317
5,0,304
1,0,289
2,7,287
2,8,287
5,7,282
8,6,278
4,3,247
0,4,236
7,5,170
3,5,145
1,7,116
8,7,107
5,3,102
7,8,99
0,3,98
1,8,91
7,2,90
0,6,84
8,0,82
8,2,66
7,0,60
5,8,58
0,5,52
0,1,48
7,1,45
8,5,32
4,8,27
8,4,18
4,7,16
8,1,15
0,7,10
0,8,8
3,8,8
3,7,7
7,4,6
8,3,5
7,3,1
